Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
BTCUSDT,4h,2023-05-30 03:00:00,27736.39,27829.23,27940.55,27584.45,4057.20611
BTCUSDT,4h,2023-05-30 07:00:00,27829.23,27733.22,27848.28,27672.93,3551.68079
BTCUSDT,4h,2023-05-30 11:00:00,27733.22,28021.4,28038.59,27712.19,6468.5174
BTCUSDT,4h,2023-05-30 15:00:00,28021.39,27673.08,28027.78,27615.0,9424.08758
BTCUSDT,4h,2023-05-30 19:00:00,27673.08,27850.2,27862.84,27554.0,5809.72829
BTCUSDT,4h,2023-05-30 23:00:00,27850.21,27694.4,27855.13,27651.17,3375.53354
BTCUSDT,4h,2023-05-31 03:00:00,27694.39,27657.3,27835.51,27571.04,4589.66625
BTCUSDT,4h,2023-05-31 07:00:00,27657.29,27167.9,27677.67,26968.49,14852.80264
BTCUSDT,4h,2023-05-31 11:00:00,27167.91,27097.18,27203.73,26994.33,7051.71041
BTCUSDT,4h,2023-05-31 15:00:00,27097.18,26911.54,27231.34,26851.0,10524.42883
BTCUSDT,4h,2023-05-31 19:00:00,26911.55,27010.57,27123.43,26839.01,5607.89699
BTCUSDT,4h,2023-05-31 23:00:00,27010.57,27210.35,27299.99,27005.16,3962.30061
BTCUSDT,4h,2023-06-01 03:00:00,27210.36,26779.94,27350.0,26605.05,11213.18795
BTCUSDT,4h,2023-06-01 07:00:00,26779.93,26802.67,26883.6,26746.0,4613.77433
BTCUSDT,4h,2023-06-01 11:00:00,26802.66,26892.96,26951.07,26790.96,4275.56782
BTCUSDT,4h,2023-06-01 15:00:00,26892.95,26894.48,26981.34,26782.53,6481.67546
BTCUSDT,4h,2023-06-01 19:00:00,26894.47,26862.68,27175.0,26656.0,8974.24713
BTCUSDT,4h,2023-06-01 23:00:00,26862.68,26817.93,26942.98,26713.34,3659.35611
BTCUSDT,4h,2023-06-02 03:00:00,26817.93,27000.0,27017.0,26505.0,7016.0416
BTCUSDT,4h,2023-06-02 07:00:00,27000.01,27049.65,27213.0,26949.4,6856.64454
BTCUSDT,4h,2023-06-02 11:00:00,27049.65,27130.75,27183.07,27049.38,3577.11
BTCUSDT,4h,2023-06-02 15:00:00,27130.75,27095.92,27240.0,26860.71,9100.69076
BTCUSDT,4h,2023-06-02 19:00:00,27095.93,27239.02,27287.64,27006.22,6294.35686
BTCUSDT,4h,2023-06-02 23:00:00,27239.03,27242.59,27300.0,27143.37,3536.05893
BTCUSDT,4h,2023-06-03 03:00:00,27242.59,27143.2,27242.6,27092.0,2715.88602
BTCUSDT,4h,2023-06-03 07:00:00,27143.2,27174.42,27212.78,27105.73,1822.46448
BTCUSDT,4h,2023-06-03 11:00:00,27174.42,27129.79,27181.0,27112.73,2020.98723
BTCUSDT,4h,2023-06-03 15:00:00,27129.78,27305.26,27333.29,27126.85,3088.32066
BTCUSDT,4h,2023-06-03 19:00:00,27305.27,27096.36,27318.63,27025.59,4087.75798
BTCUSDT,4h,2023-06-03 23:00:00,27096.37,27069.22,27124.68,26914.93,2859.9248
BTCUSDT,4h,2023-06-04 03:00:00,27069.22,27061.38,27100.43,26951.0,2017.63875
BTCUSDT,4h,2023-06-04 07:00:00,27061.37,27150.45,27163.94,27027.0,2458.23876
BTCUSDT,4h,2023-06-04 11:00:00,27150.46,27198.55,27249.86,27123.81,2737.05084
BTCUSDT,4h,2023-06-04 15:00:00,27198.54,27179.0,27298.0,27160.11,3447.67191
BTCUSDT,4h,2023-06-04 19:00:00,27179.0,27213.11,27222.0,27155.0,1986.61888
BTCUSDT,4h,2023-06-04 23:00:00,27213.11,27115.21,27455.02,27043.65,6611.19135
BTCUSDT,4h,2023-06-05 03:00:00,27115.2,26843.58,27129.33,26791.04,6449.76559
BTCUSDT,4h,2023-06-05 07:00:00,26843.57,26829.99,26870.54,26740.38,5422.13247
BTCUSDT,4h,2023-06-05 11:00:00,26830.0,26773.39,26840.77,26668.0,4723.46593
BTCUSDT,4h,2023-06-05 15:00:00,26773.39,26007.53,26817.61,26000.0,14719.7066
BTCUSDT,4h,2023-06-05 19:00:00,26007.53,25629.99,26074.51,25388.0,27456.05814
BTCUSDT,4h,2023-06-05 23:00:00,25630.0,25728.2,25858.42,25509.98,7034.47432
BTCUSDT,4h,2023-06-06 03:00:00,25728.2,25730.83,25801.09,25601.0,5737.28976
BTCUSDT,4h,2023-06-06 07:00:00,25730.83,25722.33,25821.41,25706.18,4562.45045
BTCUSDT,4h,2023-06-06 11:00:00,25722.34,25686.64,25797.0,25640.33,4705.4168
BTCUSDT,4h,2023-06-06 15:00:00,25686.64,26066.11,26143.69,25351.02,18580.6297
BTCUSDT,4h,2023-06-06 19:00:00,26066.12,27080.13,27216.89,26066.11,21954.76955
BTCUSDT,4h,2023-06-06 23:00:00,27080.12,27230.08,27355.33,26857.92,12852.04812
BTCUSDT,4h,2023-06-07 03:00:00,27230.07,26909.01,27391.77,26720.47,11374.06381
BTCUSDT,4h,2023-06-07 07:00:00,26909.01,26795.87,26980.04,26753.01,5395.14109
BTCUSDT,4h,2023-06-07 11:00:00,26795.87,26896.14,26968.0,26352.0,12299.41041
BTCUSDT,4h,2023-06-07 15:00:00,26896.14,26349.52,26932.1,26236.0,16129.1175
BTCUSDT,4h,2023-06-07 19:00:00,26349.52,26482.42,26553.78,26240.47,7669.83392
BTCUSDT,4h,2023-06-07 23:00:00,26482.43,26339.34,26493.3,26125.01,6751.87691
BTCUSDT,4h,2023-06-08 03:00:00,26339.34,26344.17,26470.0,26210.0,5218.61987
BTCUSDT,4h,2023-06-08 07:00:00,26344.16,26444.69,26523.93,26290.19,3725.37329
BTCUSDT,4h,2023-06-08 11:00:00,26444.68,26432.0,26504.94,26368.04,3204.5364
BTCUSDT,4h,2023-06-08 15:00:00,26432.01,26721.68,26810.0,26300.0,10657.94023
BTCUSDT,4h,2023-06-08 19:00:00,26721.69,26539.9,26732.24,26414.02,5458.16496
BTCUSDT,4h,2023-06-08 23:00:00,26539.86,26498.61,26649.97,26488.01,2810.87608
BTCUSDT,4h,2023-06-09 03:00:00,26498.62,26483.7,26596.58,26269.91,5322.52752
BTCUSDT,4h,2023-06-09 07:00:00,26483.69,26493.43,26576.55,26424.35,3615.92481
BTCUSDT,4h,2023-06-09 11:00:00,26493.44,26610.19,26685.43,26491.66,4887.18214
BTCUSDT,4h,2023-06-09 15:00:00,26610.18,26477.37,26783.33,26452.86,7205.6206
BTCUSDT,4h,2023-06-09 19:00:00,26477.36,26407.15,26529.54,26383.05,4445.40191
BTCUSDT,4h,2023-06-09 23:00:00,26407.15,26477.81,26500.0,26397.11,2458.05272
BTCUSDT,4h,2023-06-10 03:00:00,26477.8,26323.07,26533.87,26266.0,5021.65979
BTCUSDT,4h,2023-06-10 07:00:00,26323.07,25651.09,26349.17,25456.41,28094.05597
BTCUSDT,4h,2023-06-10 11:00:00,25651.08,25731.4,25750.25,25561.25,7165.46892
BTCUSDT,4h,2023-06-10 15:00:00,25731.41,25628.8,25731.41,25572.94,5268.77063
BTCUSDT,4h,2023-06-10 19:00:00,25628.81,25750.0,26154.0,25358.0,14974.92299
BTCUSDT,4h,2023-06-10 23:00:00,25750.01,25841.21,25932.02,25679.59,4419.72278
BTCUSDT,4h,2023-06-11 03:00:00,25841.22,25727.51,25864.32,25695.0,4218.10619
BTCUSDT,4h,2023-06-11 07:00:00,25727.51,25741.33,25834.59,25634.7,3668.97441
BTCUSDT,4h,2023-06-11 11:00:00,25741.32,25796.06,25842.44,25695.0,3776.68664
BTCUSDT,4h,2023-06-11 15:00:00,25796.05,25751.36,25806.11,25672.68,4082.10621
BTCUSDT,4h,2023-06-11 19:00:00,25751.36,26030.89,26106.66,25738.07,8314.30254
BTCUSDT,4h,2023-06-11 23:00:00,26030.89,25925.55,26206.88,25745.03,5954.11996
BTCUSDT,4h,2023-06-12 03:00:00,25925.54,25791.29,26028.5,25602.11,6665.93933
BTCUSDT,4h,2023-06-12 07:00:00,25791.29,25802.98,25905.63,25744.06,3896.06919
BTCUSDT,4h,2023-06-12 11:00:00,25802.97,25988.83,26106.48,25780.0,5833.76222
BTCUSDT,4h,2023-06-12 15:00:00,25988.82,25824.63,25993.6,25734.47,5467.66761
BTCUSDT,4h,2023-06-12 19:00:00,25824.63,25824.23,25966.18,25652.04,5214.5963
BTCUSDT,4h,2023-06-12 23:00:00,25824.23,25905.19,25970.05,25804.3,2822.47428
