Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
LTCUSDT,4h,2023-05-30 03:00:00,90.86,91.29,91.59,90.51,61061.797
LTCUSDT,4h,2023-05-30 07:00:00,91.29,91.22,91.86,90.73,79647.884
LTCUSDT,4h,2023-05-30 11:00:00,91.23,93.03,93.3,91.2,147194.412
LTCUSDT,4h,2023-05-30 15:00:00,93.04,91.93,93.09,91.06,120008.544
LTCUSDT,4h,2023-05-30 19:00:00,91.92,92.23,92.53,91.48,94468.472
LTCUSDT,4h,2023-05-30 23:00:00,92.25,92.25,92.42,91.73,50855.346
LTCUSDT,4h,2023-05-31 03:00:00,92.25,91.74,92.72,91.21,78674.252
LTCUSDT,4h,2023-05-31 07:00:00,91.75,89.15,91.76,88.35,219199.208
LTCUSDT,4h,2023-05-31 11:00:00,89.15,89.07,89.63,88.98,105097.815
LTCUSDT,4h,2023-05-31 15:00:00,89.06,88.72,89.44,87.5,153502.609
LTCUSDT,4h,2023-05-31 19:00:00,88.72,89.47,89.73,88.4,77717.435
LTCUSDT,4h,2023-05-31 23:00:00,89.48,90.42,90.91,89.3,96130.753
LTCUSDT,4h,2023-06-01 03:00:00,90.42,90.9,91.73,89.17,163637.866
LTCUSDT,4h,2023-06-01 07:00:00,90.9,92.36,92.78,90.75,248875.045
LTCUSDT,4h,2023-06-01 11:00:00,92.36,92.23,93.21,92.08,207872.247
LTCUSDT,4h,2023-06-01 15:00:00,92.24,94.95,95.55,91.88,373640.284
LTCUSDT,4h,2023-06-01 19:00:00,94.95,95.21,95.98,94.01,264175.738
LTCUSDT,4h,2023-06-01 23:00:00,95.2,94.19,95.2,93.29,98609.83
LTCUSDT,4h,2023-06-02 03:00:00,94.17,95.12,95.49,92.58,189460.74
LTCUSDT,4h,2023-06-02 07:00:00,95.12,94.32,95.7,94.32,118724.059
LTCUSDT,4h,2023-06-02 11:00:00,94.33,95.11,95.3,94.32,77061.44
LTCUSDT,4h,2023-06-02 15:00:00,95.1,94.67,95.3,93.1,169642.542
LTCUSDT,4h,2023-06-02 19:00:00,94.68,95.04,95.5,93.93,96595.767
LTCUSDT,4h,2023-06-02 23:00:00,95.06,95.45,95.6,94.77,62531.416
LTCUSDT,4h,2023-06-03 03:00:00,95.45,94.56,95.45,94.15,67376.325
LTCUSDT,4h,2023-06-03 07:00:00,94.56,94.84,95.14,94.41,42987.003
LTCUSDT,4h,2023-06-03 11:00:00,94.85,96.71,97.56,94.77,168176.572
LTCUSDT,4h,2023-06-03 15:00:00,96.71,96.75,97.39,96.2,145204.197
LTCUSDT,4h,2023-06-03 19:00:00,96.76,96.32,97.23,95.86,103347.42
LTCUSDT,4h,2023-06-03 23:00:00,96.33,96.03,96.43,95.62,69499.367
LTCUSDT,4h,2023-06-04 03:00:00,96.03,95.3,96.03,94.65,104345.183
LTCUSDT,4h,2023-06-04 07:00:00,95.3,95.83,95.86,94.82,65820.959
LTCUSDT,4h,2023-06-04 11:00:00,95.82,96.34,96.5,95.46,75887.693
LTCUSDT,4h,2023-06-04 15:00:00,96.33,95.52,96.43,95.2,94562.812
LTCUSDT,4h,2023-06-04 19:00:00,95.52,95.79,96.26,95.23,53158.217
LTCUSDT,4h,2023-06-04 23:00:00,95.78,94.19,96.14,93.8,98689.204
LTCUSDT,4h,2023-06-05 03:00:00,94.19,92.89,94.58,92.13,154524.618
LTCUSDT,4h,2023-06-05 07:00:00,92.89,93.36,93.66,92.46,71763.39
LTCUSDT,4h,2023-06-05 11:00:00,93.37,93.04,93.74,92.36,118077.437
LTCUSDT,4h,2023-06-05 15:00:00,93.03,86.05,93.04,86.02,379215.945
LTCUSDT,4h,2023-06-05 19:00:00,86.1,87.38,88.65,83.56,497611.652
LTCUSDT,4h,2023-06-05 23:00:00,87.4,87.71,88.08,86.73,99201.318
LTCUSDT,4h,2023-06-06 03:00:00,87.7,87.38,88.22,86.59,100800.27
LTCUSDT,4h,2023-06-06 07:00:00,87.38,87.45,87.9,87.0,88786.126
LTCUSDT,4h,2023-06-06 11:00:00,87.45,87.51,88.17,87.32,72919.554
LTCUSDT,4h,2023-06-06 15:00:00,87.5,88.47,89.01,85.64,275915.412
LTCUSDT,4h,2023-06-06 19:00:00,88.47,90.8,91.11,88.39,172446.303
LTCUSDT,4h,2023-06-06 23:00:00,90.81,90.92,91.47,90.14,125992.106
LTCUSDT,4h,2023-06-07 03:00:00,90.93,90.18,91.31,89.33,129315.829
LTCUSDT,4h,2023-06-07 07:00:00,90.18,90.09,91.2,89.86,73576.912
LTCUSDT,4h,2023-06-07 11:00:00,90.09,90.45,90.56,88.23,128313.507
LTCUSDT,4h,2023-06-07 15:00:00,90.46,87.89,90.51,87.5,176012.13
LTCUSDT,4h,2023-06-07 19:00:00,87.88,88.8,89.21,87.34,119447.651
LTCUSDT,4h,2023-06-07 23:00:00,88.8,88.85,89.36,88.05,65011.117
LTCUSDT,4h,2023-06-08 03:00:00,88.83,88.34,89.53,87.5,59850.211
LTCUSDT,4h,2023-06-08 07:00:00,88.33,88.06,88.69,87.5,70511.563
LTCUSDT,4h,2023-06-08 11:00:00,88.07,87.99,88.23,87.19,86701.231
LTCUSDT,4h,2023-06-08 15:00:00,87.99,88.85,89.04,87.67,94498.247
LTCUSDT,4h,2023-06-08 19:00:00,88.84,88.54,88.93,87.79,58381.259
LTCUSDT,4h,2023-06-08 23:00:00,88.54,88.5,88.88,88.33,35848.1
LTCUSDT,4h,2023-06-09 03:00:00,88.49,87.58,88.49,86.66,75107.972
LTCUSDT,4h,2023-06-09 07:00:00,87.58,87.47,87.99,87.18,41445.395
