Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
ADAUSDT,1h,2023-06-10 00:00:00,0.3021,0.3017,0.3021,0.2996,5880315.7
ADAUSDT,1h,2023-06-10 01:00:00,0.3017,0.2973,0.3019,0.295,19834312.9
ADAUSDT,1h,2023-06-10 02:00:00,0.2972,0.2951,0.2972,0.2902,22502088.1
ADAUSDT,1h,2023-06-10 03:00:00,0.2951,0.2874,0.2953,0.2861,20065595.3
ADAUSDT,1h,2023-06-10 04:00:00,0.2874,0.2873,0.2916,0.2821,25595507.9
ADAUSDT,1h,2023-06-10 05:00:00,0.2872,0.2837,0.2896,0.2817,21268616.4
ADAUSDT,1h,2023-06-10 06:00:00,0.2837,0.2764,0.2855,0.2735,30575413.2
ADAUSDT,1h,2023-06-10 07:00:00,0.2763,0.2433,0.2767,0.22,128389876.6
ADAUSDT,1h,2023-06-10 08:00:00,0.2436,0.2442,0.2528,0.2413,61319019.0
ADAUSDT,1h,2023-06-10 09:00:00,0.2442,0.2387,0.2492,0.2355,48886302.2
ADAUSDT,1h,2023-06-10 10:00:00,0.2387,0.2403,0.244,0.2385,40488921.1
ADAUSDT,1h,2023-06-10 11:00:00,0.2403,0.2443,0.2449,0.2385,42061179.3
ADAUSDT,1h,2023-06-10 12:00:00,0.2443,0.2401,0.2444,0.239,33889396.5
ADAUSDT,1h,2023-06-10 13:00:00,0.2402,0.2432,0.2432,0.236,30800696.8
ADAUSDT,1h,2023-06-10 14:00:00,0.2431,0.2501,0.252,0.2411,40262014.7
ADAUSDT,1h,2023-06-10 15:00:00,0.25,0.2481,0.2522,0.2475,32517892.2
ADAUSDT,1h,2023-06-10 16:00:00,0.2482,0.2488,0.2502,0.2461,21579218.2
ADAUSDT,1h,2023-06-10 17:00:00,0.2487,0.2558,0.2576,0.248,23082088.1
ADAUSDT,1h,2023-06-10 18:00:00,0.2559,0.2544,0.2573,0.2531,17652101.6
ADAUSDT,1h,2023-06-10 19:00:00,0.2544,0.2536,0.2584,0.2518,25866456.9
ADAUSDT,1h,2023-06-10 20:00:00,0.2536,0.2653,0.2685,0.2516,39090440.5
ADAUSDT,1h,2023-06-10 21:00:00,0.2653,0.26,0.2653,0.2574,15873775.7
ADAUSDT,1h,2023-06-10 22:00:00,0.26,0.2659,0.2659,0.26,7818332.8
ADAUSDT,1h,2023-06-10 23:00:00,0.2658,0.2647,0.2659,0.263,8632464.0
ADAUSDT,1h,2023-06-11 00:00:00,0.2647,0.2735,0.2763,0.2646,16321649.0
ADAUSDT,1h,2023-06-11 01:00:00,0.2735,0.2781,0.2806,0.2721,17077919.4
ADAUSDT,1h,2023-06-11 02:00:00,0.2781,0.2747,0.2785,0.2746,8218197.9
ADAUSDT,1h,2023-06-11 03:00:00,0.2748,0.2663,0.2755,0.2658,12753661.3
ADAUSDT,1h,2023-06-11 04:00:00,0.2664,0.2662,0.2709,0.2658,9038018.6
ADAUSDT,1h,2023-06-11 05:00:00,0.2662,0.2642,0.2669,0.2625,10680687.8
ADAUSDT,1h,2023-06-11 06:00:00,0.2641,0.2636,0.2661,0.2625,8782996.4
ADAUSDT,1h,2023-06-11 07:00:00,0.2636,0.2635,0.2647,0.2598,11576681.7
ADAUSDT,1h,2023-06-11 08:00:00,0.2634,0.2652,0.2678,0.2634,8046367.7
ADAUSDT,1h,2023-06-11 09:00:00,0.2652,0.2647,0.2669,0.2644,6355825.6
ADAUSDT,1h,2023-06-11 10:00:00,0.2646,0.2621,0.2653,0.2609,8168628.8
ADAUSDT,1h,2023-06-11 11:00:00,0.2621,0.2603,0.2641,0.26,9668810.0
