Symbol,Interval,Time,Open Price,Close Price,High Price,Low Price,Volume
XRPUSDT,1d,2023-04-24 03:00:00,0.4648,0.4611,0.4857,0.4469,408426760.0
XRPUSDT,1d,2023-04-25 03:00:00,0.461,0.4695,0.4723,0.4506,377056298.0
XRPUSDT,1d,2023-04-26 03:00:00,0.4696,0.4618,0.4831,0.4329,551155391.0
XRPUSDT,1d,2023-04-27 03:00:00,0.4618,0.4667,0.4699,0.4557,345756985.0
XRPUSDT,1d,2023-04-28 03:00:00,0.4666,0.4796,0.483,0.4637,384917512.0
XRPUSDT,1d,2023-04-29 03:00:00,0.4795,0.478,0.4869,0.4709,175533507.0
XRPUSDT,1d,2023-04-30 03:00:00,0.4779,0.4705,0.4819,0.4687,143199211.0
XRPUSDT,1d,2023-05-01 03:00:00,0.4705,0.4649,0.4724,0.4544,338231418.0
XRPUSDT,1d,2023-05-02 03:00:00,0.4648,0.4645,0.4662,0.4574,330734355.0
XRPUSDT,1d,2023-05-03 03:00:00,0.4644,0.4632,0.4655,0.4497,341232638.0
XRPUSDT,1d,2023-05-04 03:00:00,0.4633,0.4608,0.465,0.4547,218212542.0
XRPUSDT,1d,2023-05-05 03:00:00,0.4608,0.4671,0.4706,0.4545,292855620.0
XRPUSDT,1d,2023-05-06 03:00:00,0.4671,0.4582,0.4695,0.4512,168649976.0
XRPUSDT,1d,2023-05-07 03:00:00,0.4582,0.449,0.4601,0.4457,119401215.0
XRPUSDT,1d,2023-05-08 03:00:00,0.4491,0.4283,0.4512,0.41,483055933.0
XRPUSDT,1d,2023-05-09 03:00:00,0.4283,0.4289,0.4308,0.4202,331497882.0
XRPUSDT,1d,2023-05-10 03:00:00,0.4289,0.4303,0.434,0.4119,334930240.0
XRPUSDT,1d,2023-05-11 03:00:00,0.4303,0.4207,0.4305,0.4114,288769811.0
XRPUSDT,1d,2023-05-12 03:00:00,0.4207,0.4305,0.4446,0.4157,408757650.0
XRPUSDT,1d,2023-05-13 03:00:00,0.4305,0.424,0.4306,0.4227,102125283.0
XRPUSDT,1d,2023-05-14 03:00:00,0.424,0.4253,0.4317,0.421,97517794.0
XRPUSDT,1d,2023-05-15 03:00:00,0.4253,0.4273,0.4304,0.4214,263543031.0
XRPUSDT,1d,2023-05-16 03:00:00,0.4273,0.4425,0.443,0.4174,357854908.0
XRPUSDT,1d,2023-05-17 03:00:00,0.4426,0.4484,0.4616,0.4375,511331200.0
XRPUSDT,1d,2023-05-18 03:00:00,0.4485,0.4596,0.473,0.443,420292099.0
XRPUSDT,1d,2023-05-19 03:00:00,0.4597,0.4675,0.4755,0.4573,327924286.0
XRPUSDT,1d,2023-05-20 03:00:00,0.4674,0.4685,0.4719,0.4618,133085427.0
XRPUSDT,1d,2023-05-21 03:00:00,0.4685,0.4575,0.4706,0.455,152105849.0
XRPUSDT,1d,2023-05-22 03:00:00,0.4574,0.4618,0.4674,0.4496,289989578.0
XRPUSDT,1d,2023-05-23 03:00:00,0.4618,0.4651,0.4672,0.4583,270491006.0
XRPUSDT,1d,2023-05-24 03:00:00,0.4651,0.453,0.4651,0.4457,334128026.0
XRPUSDT,1d,2023-05-25 03:00:00,0.453,0.4538,0.4551,0.4431,190174437.0
XRPUSDT,1d,2023-05-26 03:00:00,0.4538,0.4684,0.4699,0.4524,284645154.0
XRPUSDT,1d,2023-05-27 03:00:00,0.4684,0.4714,0.4792,0.4652,178798933.0
XRPUSDT,1d,2023-05-28 03:00:00,0.4714,0.482,0.4863,0.4699,166534206.0
XRPUSDT,1d,2023-05-29 03:00:00,0.482,0.4946,0.4954,0.4761,328535756.0
XRPUSDT,1d,2023-05-30 03:00:00,0.4946,0.5205,0.5293,0.4893,662891231.0
XRPUSDT,1d,2023-05-31 03:00:00,0.5205,0.5166,0.528,0.5009,440917044.0
XRPUSDT,1d,2023-06-01 03:00:00,0.5167,0.5065,0.5167,0.5014,320782418.0
XRPUSDT,1d,2023-06-02 03:00:00,0.5065,0.5244,0.5271,0.5033,293048961.0
XRPUSDT,1d,2023-06-03 03:00:00,0.5245,0.5188,0.534,0.5144,172139129.0
XRPUSDT,1d,2023-06-04 03:00:00,0.5188,0.5359,0.547,0.5151,250235168.0
XRPUSDT,1d,2023-06-05 03:00:00,0.5359,0.509,0.5431,0.4867,616993814.0
XRPUSDT,1d,2023-06-06 03:00:00,0.5089,0.53,0.5328,0.4952,458413458.0
XRPUSDT,1d,2023-06-07 03:00:00,0.53,0.5183,0.5384,0.507,467474175.0
XRPUSDT,1d,2023-06-08 03:00:00,0.5183,0.5236,0.5278,0.5156,262982251.0
XRPUSDT,1d,2023-06-09 03:00:00,0.5237,0.538,0.5418,0.5205,352068623.0
XRPUSDT,1d,2023-06-10 03:00:00,0.538,0.5067,0.5388,0.472,609302319.0
XRPUSDT,1d,2023-06-11 03:00:00,0.5067,0.5208,0.5293,0.5027,221202480.0
XRPUSDT,1d,2023-06-12 03:00:00,0.5209,0.5251,0.528,0.5086,356547544.0
